J:Number	R	1* M	1* M	1* M	1* M	1* M	1* M	1* M	1* M	1* M	1* M	1* M	2* M	2* M	2* M	2* M	2* M	2* M	2* M	2* M	2* M	2* M	2* M	2* M	2* M	1* M Allele	1* M Allele	1* M Allele	2* M Allele	2* M Allele	2* M Allele
51482		Tal1	Raldh2	Lmo1	Lmo2									
51487		Pmp22												
51488		Aprt																								
51502		Pld3																								
51510		Prkm8																								
51511		Orc1																								
51512		Ccnt1																								
51513		Slc25a14																								
51514		Ch25h-pending																								
51515		Tyrobp																								
51516		Aanat																								
51517		Creb1											Adcyap1													
51518		Apc																								
51519		Rarg											Rara	Rarb												
51522		Tlr4	Ran																							
51523		Msx1											Msx2	Tgfb1												
51525		Casp8											Casp1	Casp2	Casp3	Casp7	Casp11									
51526		Btk											Slf													Btk<xid>
51533		Npy																											
51534		Rb1	Wt1																										
51535		Otx1	Otx2																										
51536		Smarca2											Smarca4																
51540		Idd3											Cd152	Idd7	Idd10	Idd13	Idd17	Idd18	Ifng										
51542		Traf3											Meox1	nodal	Otx2	Sox2	Twist												
51544		Erbb3	Erbb4										Erbb1	Erbb2															
51545		Fgf4											Pou5f1	Sox2															
51549		Apob																											
51551		Cyp19																											
51556		Iapp											Cgrp																
51557		Lama5											Lama1	Lama2	Lama3	Lama4	Ra												Ra
51558		Cdkn2a																											
51559		Gja1																											
51560		Gnrh																											
51561		Wisp1	Wisp2																										
51562		Gpx3											Gpx1																
51563		Nos3																											
51563		Nos3																											
51564		Nos2											Nos1	Nos3															
51565		Htr1a																											
51566		Agrp	Npy										anx																anx
51567		Htr2c																											
51568		Hbb											Hba-a1	Hba-a2															
51569		Hrc	Dyscalc																										
51570		Bmp4											Msx2	Pax6												Bmp4<tm1Blh>			Pax6<Sey-Neu>
51571		Ptf1a																											
51574		Dyrk																											
51579		Dmd																											
51581		Orp150-pending																											
51582		Ifng																											
51583		Scya2																											
51589		Nos2															
51590		Scya5	Scya3	Gro1													
51592		Itgb6															
51594		Pecam															
51595		Tdgf1															
51596		Pmx1	S8										Pax9	Ptch			
51597		Epha4											Prkmk7	Rag1	Jun	Fos	Kdr
51598		Mash1											Dll1	Dll3	Hes5		
51599		Bmpr1b															
51600		Cenpf															
51601		Kcnab3															
51602		Wbscr9															
51605		Mlk2															
51608		Lig4															
51611		Ccne2															
51613		Strap															
51614		Hrb	Epn1	Epn2																								
51616		Kcnk5																										
51616		Kcnk5																										
51618		Sel1h																										
51620		Crya1											Crya2															
51622		Cebpb											Cebpd															
51624		Kcnj11											Sur															
51626		Ldh3																										
51627		Pnliprp2																										
51630		uw											Myo10													uw	uw<d>	Uw<dbr>
51632		Notch1	Jag1	Dll1									Notch2	Notch3	Notch4	Jag2												
51633		Bmp15											Gdf9															
51635		Nos2											Ifng															
51636		Il10											Tnf	Il1a														
51637		Cd28																										
51642		Vpreb1	Igl-5																									
51644		Notch1											Dll1	Jag1	Jag2												
51645		Pax3	Pax7										En1														
51647		Cacna1a																								Cacna1a<tg>	Cacna1a<tg-la>
51648		Nxph3	Nxph4																								
51651		Hprt																									
51653		Mog																									
51654		Sfrs5											Gabpa	Gabpb1													
51655		Ifng	Mig	Ifi10																							
51656		Titf1	Nkx2-2	Hfhbf1									Hfhbf2	Dlx2	Shh												
51657		Hap1																									
51658		Dmd											Nos1													Dmd<mdx>	
51659		Pmch																									
51660		Acadl											Acadvl														
51661		Mdm2											Trp53														
51663		Estrb											Estra														
51664		Plcb4																									
51665		Vegf	Flt1	Kdr																														
51666		Cbl											Cd3e	Cd4																				
51667		Agtr1a	Agtr1b																															
51668		Gnas																																
51670		Oc90																																
51671		Gja3											Gja8																					
51675		Egr1											Rag2	Hmr																				
51676		Cd5											Tcra	Tcrb																				
51678		Zap70	Cd3z																															
51682		Spam																																
51683		Zp3r																																
51684		Npy1r											Ucp	Ucp2																				
51689		Ptprn2																																
51690		Sptlc2																																
51692		Eva																																
51693		ak	Pax6	Six3									Pax2	Chuk	Fgf8	Crya1																		
51694		Ybx1	Ddx6	Pabp1									Pabp2													
51695		Pax6																								
51696		Cdkn1a	Cdkn1b	Cdkn1c																						
51697		Stip1											Hsp70-1	Hsp84-1												
51698		Lep											Cd36	Got2	Fatp											Lep<ob>
51700		Fast2											Tgfb1	Madh2	Madh3											
51701		Ptch2	Shh										Ptch													
51702		Tgfa	Itga5	Itgb1									Itga2	Itga3	Itga6											
51703		Il7r											Il2rg	Rag1	Rag2	Jak3										
51704		Defcr2																								
51705		Celsr1																								
51706		Fgfr2	Fgf4										Egfr													
51708		Htr1a	Htr1b																							
51729		Ina																								
51731		Cdh5																								
51734		Shbg																								
51742		Dri1											
51747		Prkmk3											
51749		Myom1											
51750		Rngtt											
51761		Scp2	Lith1	Lith2	Lith3								
51770		Icam1											
51773		Igf1	Igf2	Amel	Ambn								Tuft1
51774		Ambn											
51774		Ambn											
51776		Enam											
51776		Enam											
51777		Cdx1											
51778		Tgfb1	Tgfb2	Tgfbr1	Tgfbr2								
51779		Gls	Stat1	Xpg									
51780		Siat8d											
51784		P2rxl1											
51787		Selp	Sele													
51788		Pecam											Tnf			
