MGI:5934096	Tssr6329	MGI:2441772	Eif5b
MGI:5934097	Tssr6330	MGI:2441772	Eif5b
MGI:5934098	Tssr6331	MGI:2441772	Eif5b
MGI:5934099	Tssr6332	MGI:2441772	Eif5b
MGI:5934100	Tssr6333	MGI:2441772	Eif5b
MGI:5934101	Tssr6334	MGI:2441772	Eif5b
MGI:5934102	Tssr6335	MGI:2441772	Eif5b
MGI:5934103	Tssr6336	MGI:2441772	Eif5b
MGI:5934104	Tssr6337	MGI:2441772	Eif5b
MGI:5934105	Tssr6338	MGI:2441772	Eif5b
MGI:5934130	Tssr6363	MGI:2441772	Eif5b
MGI:5934133	Tssr6366	MGI:3647848	Gm6621
MGI:5934134	Tssr6367	MGI:1916083	Pdcl3
MGI:5934135	Tssr6368	MGI:1916083	Pdcl3
MGI:5934136	Tssr6369	MGI:1916083	Pdcl3
MGI:5934138	Tssr6371	MGI:109232	Npas2
MGI:5934142	Tssr6375	MGI:2149632	Rpl31
MGI:5934143	Tssr6376	MGI:2149632	Rpl31
MGI:5934144	Tssr6377	MGI:2149632	Rpl31
MGI:5934145	Tssr6378	MGI:2149632	Rpl31
MGI:5934150	Tssr6383	MGI:106580	Cnot11
MGI:5934159	Tssr6392	MGI:3043219	D930019O06Rik
MGI:5934162	Tssr6395	MGI:1349394	Map4k4
MGI:5934163	Tssr6396	MGI:1349394	Map4k4
MGI:5934164	Tssr6397	MGI:1349394	Map4k4
MGI:5934175	Tssr6408	MGI:1349394	Map4k4
MGI:5934178	Tssr6411	MGI:96546	Il1r2
MGI:5934179	Tssr6412	MGI:96546	Il1r2
MGI:5934180	Tssr6413	MGI:96546	Il1r2
MGI:5934181	Tssr6414	MGI:96546	Il1r2
MGI:5934182	Tssr6415	MGI:96546	Il1r2
MGI:5934184	Tssr6417	MGI:96545	Il1r1
MGI:5934185	Tssr6418	MGI:96545	Il1r1
MGI:5934186	Tssr6419	MGI:96545	Il1r1
MGI:5934187	Tssr6420	MGI:96545	Il1r1
MGI:5934191	Tssr6424	MGI:96545	Il1r1
MGI:5934192	Tssr6425	MGI:1913107	Il1rl2
MGI:5934193	Tssr6426	MGI:1913107	Il1rl2
MGI:5934211	Tssr6444	MGI:98427	Il1rl1
MGI:5934212	Tssr6445	MGI:98427	Il1rl1
MGI:5934213	Tssr6446	MGI:98427	Il1rl1
MGI:5934221	Tssr6454	MGI:98427	Il1rl1
MGI:5934222	Tssr6455	MGI:98427	Il1rl1
MGI:5934232	Tssr6465	MGI:105383	Il18r1
MGI:5934233	Tssr6466	MGI:105383	Il18r1
MGI:5934234	Tssr6467	MGI:105383	Il18r1
MGI:5934235	Tssr6468	MGI:105383	Il18r1
MGI:5934236	Tssr6469	MGI:105383	Il18r1
MGI:5934237	Tssr6470	MGI:105383	Il18r1
MGI:5934238	Tssr6471	MGI:105383	Il18r1
MGI:5934239	Tssr6472	MGI:105383	Il18r1
MGI:5934244	Tssr6477	MGI:1338888	Il18rap
MGI:5934245	Tssr6478	MGI:1338888	Il18rap
MGI:5934246	Tssr6479	MGI:1338888	Il18rap
MGI:5934252	Tssr6485	MGI:105074	Slc9a4
MGI:5934253	Tssr6486	MGI:105074	Slc9a4
MGI:5934254	Tssr6487	MGI:105074	Slc9a4
MGI:5934255	Tssr6488	MGI:105074	Slc9a4
MGI:5934256	Tssr6489	MGI:105074	Slc9a4
MGI:5934257	Tssr6490	MGI:105074	Slc9a4
MGI:5934258	Tssr6491	MGI:105074	Slc9a4
MGI:5934259	Tssr6492	MGI:105074	Slc9a4
MGI:5934260	Tssr6493	MGI:105074	Slc9a4
MGI:5934263	Tssr6496	MGI:105075	Slc9a2
MGI:5934264	Tssr6497	MGI:105075	Slc9a2
MGI:5934265	Tssr6498	MGI:105075	Slc9a2
MGI:5934266	Tssr6499	MGI:105075	Slc9a2
MGI:5934270	Tssr6503	MGI:1923725	Tmem182
MGI:5934274	Tssr6507	MGI:5578881	Gm28175
MGI:5934276	Tssr6509	MGI:5313093	Gm20646
MGI:5934277	Tssr6510	MGI:5313093	Gm20646
MGI:5934278	Tssr6511	MGI:102564	Pou3f3
MGI:5934279	Tssr6512	MGI:102564	Pou3f3
MGI:5934280	Tssr6513	MGI:102564	Pou3f3
MGI:5934283	Tssr6516	MGI:1920350	2900092D14Rik
MGI:5934284	Tssr6517	MGI:1916777	Mrps9
MGI:5934285	Tssr6518	MGI:2135882	Gpr45
MGI:5934286	Tssr6519	MGI:2135882	Gpr45
MGI:5934287	Tssr6520	MGI:2135882	Gpr45
MGI:5934289	Tssr6522	MGI:2138299	AI597479
MGI:5934291	Tssr6524	MGI:5589466	Gm30307
MGI:5934292	Tssr6525	MGI:5589466	Gm30307
MGI:5934295	Tssr6528	MGI:1306821	Nck2
MGI:5934296	Tssr6529	MGI:1306821	Nck2
MGI:5934300	Tssr6533	MGI:1306821	Nck2
MGI:5934301	Tssr6534	MGI:1306821	Nck2
MGI:5934305	Tssr6538	MGI:1306821	Nck2
MGI:5934306	Tssr6539	MGI:1306821	Nck2
MGI:5934311	Tssr6544	MGI:1926146	1500015O10Rik
MGI:5934312	Tssr6545	MGI:1926146	1500015O10Rik
MGI:5934313	Tssr6546	MGI:1926146	1500015O10Rik
MGI:5934314	Tssr6547	MGI:1926146	1500015O10Rik
MGI:5934315	Tssr6548	MGI:1926146	1500015O10Rik
MGI:5934316	Tssr6549	MGI:5011772	Gm19587
MGI:5934317	Tssr6550	MGI:102724	Tpp2
MGI:5934318	Tssr6551	MGI:102724	Tpp2
MGI:5934319	Tssr6552	MGI:102724	Tpp2
MGI:5934323	Tssr6556	MGI:102724	Tpp2
MGI:5934324	Tssr6557	MGI:102724	Tpp2
MGI:5934327	Tssr6560	MGI:2179809	Bivm
MGI:5934328	Tssr6561	MGI:2179809	Bivm
MGI:5934329	Tssr6562	MGI:2179809	Bivm
MGI:5934330	Tssr6563	MGI:2179809	Bivm
MGI:5934331	Tssr6564	MGI:103582	Ercc5
MGI:5934332	Tssr6565	MGI:103582	Ercc5
MGI:5934334	Tssr6567	MGI:3801794	Gm15833
MGI:5934335	Tssr6568	MGI:1920407	Gulp1
MGI:5934336	Tssr6569	MGI:1920407	Gulp1
MGI:5934337	Tssr6570	MGI:1920407	Gulp1
MGI:5934338	Tssr6571	MGI:1920407	Gulp1
MGI:5934339	Tssr6572	MGI:1920407	Gulp1
MGI:5934340	Tssr6573	MGI:1920407	Gulp1
MGI:5934344	Tssr6577	MGI:88453	Col3a1
MGI:5934350	Tssr6583	MGI:88453	Col3a1
MGI:5934354	Tssr6587	MGI:88453	Col3a1
MGI:5934355	Tssr6588	MGI:88453	Col3a1
MGI:5934356	Tssr6589	MGI:88453	Col3a1
MGI:5934357	Tssr6590	MGI:88453	Col3a1
MGI:5934370	Tssr6603	MGI:1920924	Wdr75
MGI:5934371	Tssr6604	MGI:1920924	Wdr75
MGI:5934372	Tssr6605	MGI:1920924	Wdr75
MGI:5934376	Tssr6609	MGI:2684953	Dnah7b
MGI:5934377	Tssr6610	MGI:2684953	Dnah7b
MGI:5934379	Tssr6612	MGI:3639762	Dnah7c
MGI:5934380	Tssr6613	MGI:3639762	Dnah7c
MGI:5934386	Tssr6619	MGI:1861735	Tmeff2
MGI:5934387	Tssr6620	MGI:1861735	Tmeff2
MGI:5934389	Tssr6622	MGI:99513	Cavin2
MGI:5934390	Tssr6623	MGI:99513	Cavin2
MGI:5934391	Tssr6624	MGI:99513	Cavin2
MGI:5934392	Tssr6625	MGI:99513	Cavin2
MGI:5934405	Tssr6638	MGI:103062	Stat4
MGI:5934406	Tssr6639	MGI:103062	Stat4
MGI:5934407	Tssr6640	MGI:103062	Stat4
MGI:5934408	Tssr6641	MGI:103062	Stat4
MGI:5934409	Tssr6642	MGI:103062	Stat4
MGI:5934410	Tssr6643	MGI:103062	Stat4
MGI:5934411	Tssr6644	MGI:103062	Stat4
MGI:5934412	Tssr6645	MGI:103063	Stat1
MGI:5934413	Tssr6646	MGI:103063	Stat1
MGI:5934414	Tssr6647	MGI:103063	Stat1
MGI:5934415	Tssr6648	MGI:103063	Stat1
MGI:5934425	Tssr6658	MGI:103063	Stat1
MGI:5934429	Tssr6662	MGI:103063	Stat1
MGI:5934430	Tssr6663	MGI:103063	Stat1
MGI:5934431	Tssr6664	MGI:103063	Stat1
MGI:5934432	Tssr6665	MGI:103063	Stat1
MGI:5934445	Tssr6678	MGI:2444113	Nemp2
MGI:5934449	Tssr6682	MGI:1923792	Hibch
MGI:5934450	Tssr6683	MGI:1923792	Hibch
MGI:5934451	Tssr6684	MGI:1923792	Hibch
MGI:5934452	Tssr6685	MGI:1923792	Hibch
MGI:5934453	Tssr6686	MGI:95691	Mstn
MGI:5934454	Tssr6687	MGI:2181669	Ormdl1
MGI:5934456	Tssr6689	MGI:2181669	Ormdl1
MGI:5934457	Tssr6690	MGI:1919335	Osgepl1
MGI:5934458	Tssr6691	MGI:1919335	Osgepl1
MGI:5934459	Tssr6692	MGI:1919335	Osgepl1
MGI:5934468	Tssr6701	MGI:1925266	Ccdc150
MGI:5934469	Tssr6702	MGI:1925266	Ccdc150
MGI:5934470	Tssr6703	MGI:1925266	Ccdc150
MGI:5934472	Tssr6705	MGI:1921230	4930444A19Rik
MGI:5934477	Tssr6710	MGI:1915126	Coq10b
MGI:5934479	Tssr6712	MGI:104680	Hspe1
MGI:5934480	Tssr6713	MGI:104680	Hspe1
MGI:5934482	Tssr6715	MGI:104899	Mob4
MGI:5934487	Tssr6720	MGI:3648163	Gm10561
MGI:5934488	Tssr6721	MGI:2444136	Mars2
MGI:5934489	Tssr6722	MGI:3036262	Plcl1
MGI:5934490	Tssr6723	MGI:3036262	Plcl1
MGI:5934491	Tssr6724	MGI:3036262	Plcl1
MGI:5934498	Tssr6731	MGI:5592108	Gm32949
MGI:5934499	Tssr6732	MGI:1916606	1700003I22Rik
MGI:5934502	Tssr6735	MGI:5579606	Gm28900
MGI:5934503	Tssr6736	MGI:1926150	9130024F11Rik
MGI:5934504	Tssr6737	MGI:1926150	9130024F11Rik
MGI:5934505	Tssr6738	MGI:1926150	9130024F11Rik
MGI:5934506	Tssr6739	MGI:1926150	9130024F11Rik
MGI:5934510	Tssr6743	MGI:1920717	1700066M21Rik
MGI:5934511	Tssr6744	MGI:1915365	Maip1
MGI:5934514	Tssr6747	MGI:1914448	Spats2l
MGI:5934515	Tssr6748	MGI:1914448	Spats2l
MGI:5934516	Tssr6749	MGI:1914448	Spats2l
MGI:5934518	Tssr6751	MGI:1914448	Spats2l
MGI:5934519	Tssr6752	MGI:1914448	Spats2l
MGI:5934520	Tssr6753	MGI:1914448	Spats2l
MGI:5934521	Tssr6754	MGI:1098767	Sgo2a
MGI:5934522	Tssr6755	MGI:1098767	Sgo2a
MGI:5934523	Tssr6756	MGI:88035	Aox1
MGI:5934524	Tssr6757	MGI:88035	Aox1
MGI:5934525	Tssr6758	MGI:1918974	Aox3
MGI:5934528	Tssr6761	MGI:1918974	Aox3
MGI:5934530	Tssr6763	MGI:1919122	Aox4
MGI:5934531	Tssr6764	MGI:3529596	Aox2
MGI:5934532	Tssr6765	MGI:1914132	Bzw1
MGI:5934533	Tssr6766	MGI:1914132	Bzw1
MGI:5934534	Tssr6767	MGI:1914132	Bzw1
MGI:5934535	Tssr6768	MGI:1914132	Bzw1
MGI:5934536	Tssr6769	MGI:1914132	Bzw1
MGI:5934537	Tssr6770	MGI:1914132	Bzw1
MGI:5934538	Tssr6771	MGI:1914132	Bzw1
MGI:5934539	Tssr6772	MGI:1914132	Bzw1
